date,blocks,tx_count,total_bytes,max_block_bytes,fullness_pct,source
2021-12-25,4230,70212,69997137,73728,22.44,koios-v1-blocks
2021-12-26,4337,87527,85316669,73728,26.68,koios-v1-blocks
2021-12-27,4191,96763,94420335,73728,30.56,koios-v1-blocks
2021-12-28,4223,95267,99014140,73728,31.8,koios-v1-blocks
2021-12-29,4068,84010,82643680,73728,27.55,koios-v1-blocks
2021-12-30,4298,91074,99979532,73728,31.55,koios-v1-blocks
2021-12-31,4275,84743,92602062,73728,29.38,koios-v1-blocks
2022-01-01,4298,93102,118437361,73728,37.38,koios-v1-blocks
2022-01-02,4246,90530,116392927,73728,37.18,koios-v1-blocks
2022-01-03,3953,93051,121077860,73728,41.54,koios-v1-blocks
2022-01-04,4194,104249,142308171,73728,46.02,koios-v1-blocks
2022-01-05,4091,130184,185179024,73728,61.39,koios-v1-blocks
2022-01-06,3998,148357,208948809,73728,70.89,koios-v1-blocks
2022-01-07,4166,135664,180387333,73728,58.73,koios-v1-blocks
2022-01-08,3988,114681,157907195,73728,53.7,koios-v1-blocks
2022-01-09,4090,131336,180077305,73728,59.72,koios-v1-blocks
2022-01-10,4019,110863,162903308,73728,54.98,koios-v1-blocks
2022-01-11,4100,123472,191538394,73728,63.36,koios-v1-blocks
2022-01-12,4096,117866,181770444,73728,60.19,koios-v1-blocks
2022-01-13,3930,105047,171672108,73728,59.25,koios-v1-blocks
2022-01-14,4227,132802,177244404,73728,56.87,koios-v1-blocks
2022-01-15,4079,171877,249497133,73728,82.96,koios-v1-blocks
2022-01-16,4081,179148,274752256,73728,91.32,koios-v1-blocks
2022-01-17,4017,167996,259919300,73728,87.76,koios-v1-blocks
2022-01-18,4008,170104,260292414,73728,88.08,koios-v1-blocks
2022-01-19,4063,197218,273755976,73728,91.39,koios-v1-blocks
2022-01-20,4008,194563,272294076,73728,92.15,koios-v1-blocks
2022-01-21,4118,195885,286704294,73728,94.43,koios-v1-blocks
2022-01-22,3986,174946,275639174,73728,93.79,koios-v1-blocks
2022-01-23,4009,160186,277894614,73728,94.02,koios-v1-blocks
2022-01-24,3983,149622,274024594,73728,93.31,koios-v1-blocks
2022-01-25,4002,155444,273892624,73728,92.83,koios-v1-blocks
2022-01-26,4122,169399,283104572,73728,93.16,koios-v1-blocks
2022-01-27,4065,143337,276995599,73728,92.42,koios-v1-blocks
2022-01-28,4087,143426,275252377,73728,91.35,koios-v1-blocks
2022-01-29,4137,143709,273994350,73728,89.83,koios-v1-blocks
2022-01-30,4087,155268,272416780,73728,90.41,koios-v1-blocks
2022-01-31,4081,148153,256776526,73728,85.34,koios-v1-blocks
2022-02-01,4094,121127,257815819,73728,85.41,koios-v1-blocks
2022-02-02,3936,126328,248738873,73728,85.71,koios-v1-blocks
2022-02-03,4036,125721,252561831,73728,84.88,koios-v1-blocks
2022-02-04,4153,131881,263543176,81920,77.46,koios-v1-blocks
2022-02-05,4030,136933,269257499,81920,81.56,koios-v1-blocks
2022-02-06,4117,126354,267435654,81920,79.3,koios-v1-blocks
2022-02-07,4053,123937,255837545,81920,77.05,koios-v1-blocks
2022-02-08,4117,133770,268034315,81920,79.47,koios-v1-blocks
2022-02-09,4082,129525,253112483,81920,75.69,koios-v1-blocks
2022-02-10,4077,123632,258343253,81920,77.35,koios-v1-blocks
